name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Romeo,Rooty,Basement Jaxx,2001-06-25,217493,27,0.713,0.00769,0.713,0.829,0.00203,0.139,-4.171,0.0491,126.853,4
Wherever You Will Go,Camino Palmero,The Calling,2001,208600,72,0.558,0.0367,0.558,0.719,0,0.115,-5.113,0.0267,112.027,4
Livin' It Up,Pain Is Love,Ja Rule,2001-01-01,257066,62,0.874,0.0554,0.874,0.768,0,0.041,-4.086,0.311,106.095,4
Pop Ya Collar - Radio Edit,Keep Calm & Be Happy,Various Artists,2016-03-11,210813,27,0.888,0.0901,0.888,0.8,2.12E-05,0.229,-3.944,0.0946,106.957,4
Gone,Celebrity,*NSYNC,2001-07-24,292000,47,0.699,0.421,0.699,0.403,0,0.126,-8.564,0.0614,113.922,4
No More Drama,No More Drama,Mary J. Blige,2001-01-01,326240,52,0.653,0.534,0.653,0.837,7.12E-05,0.0784,-6.818,0.124,97.914,4
Thank You,No Angel,Dido,1999,218360,69,0.725,0.3,0.725,0.583,0.000215,0.0665,-9.942,0.0424,79.984,4
Turn Off The Light,"Whoa, Nelly!",Nelly Furtado,2000,276106,16,0.587,0.0839,0.587,0.679,0.000316,0.413,-6.26,0.0927,180.184,4
Crazy for This Girl,evan and jaron,Evan And Jaron,2000-08-29,202026,50,0.457,0.000487,0.457,0.926,5.69E-05,0.0949,-5.461,0.038,93.964,4
Do You Really Like It? - Radio Edit,Do You Really Like It? (Remixes),DJ Pied Piper & The Masters Of Ceremonies,2001-05-21,217120,54,0.847,0.124,0.847,0.877,0,0.148,-5.424,0.0493,131.044,4
Another Chance,First Contact,Roger Sanchez,2000-07-23,452906,50,0.61,0.000211,0.61,0.82,0.146,0.138,-10.029,0.0312,127.993,4
Rapture (feat.Nadia Ali),Poetica (feat. Nadia Ali),iio,2006-06-27,253586,53,0.661,0.0722,0.661,0.855,0.0185,0.199,-8.403,0.0377,123.943,4
Heard It All Before,Your Woman,Sunshine Anderson,2001,295826,54,0.698,0.0611,0.698,0.925,0,0.095,-4.209,0.222,96.953,4
Little L,A funk odyssey,Jamiroquai,2001-09-11,295400,64,0.878,0.168,0.878,0.724,0.0116,0.133,-5.373,0.129,121.906,4
Underneath It All,Rock Steady,No Doubt,2001-12-11,302720,53,0.729,0.232,0.729,0.731,1.57E-06,0.391,-4.822,0.0684,138.202,4
Where the Party At (feat. Nelly),Jagged Little Thrill,Jagged Edge,2001-07-03,232573,65,0.596,0.31,0.596,0.661,0,0.0847,-6.239,0.226,129.491,5
